Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/StorageTier,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value,Snapshots/KmsKeyId
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0ddc7d6cc53641627,2021-07-02T00:21:17.859Z,completed,vol-062fd9b586adbc6c3,30,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,dlm:managed,true,MaintainedBY,DevOps,SnapshotCreator,DLM,Snapshot,true,Name,sonarqube,standard,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-09003997c3136b5ee,2021-07-01T00:12:48.016Z,completed,vol-062fd9b586adbc6c3,30,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,Snapshot,true,Name,sonarqube,SnapshotCreator,DLM,MaintainedBY,DevOps,standard,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-01e2fe56cd21415d6,2021-06-30T00:21:40.218Z,completed,vol-00637cc46eeb111fa,30,Name,xray,SnapshotCreator,DLM,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,standard,MaintainedBY,DevOps,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0a8d86a011c587cfa,2021-06-30T00:21:40.626Z,completed,vol-062fd9b586adbc6c3,30,Name,sonarqube,Snapshot,true,SnapshotCreator,DLM,MaintainedBY,DevOps,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,CreatedBy,terraform,
created by script,false,874747637540,100%,snap-01b466632f8b414de,2021-06-29T13:08:55.282Z,completed,vol-05145a5f9b83a2b0a,900,Name,jenkins-master,,,,,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-037b1f50a4809a52e,2021-06-29T13:13:04.688Z,completed,vol-05145a5f9b83a2b0a,900,Name,jenkins-master,,,,,,,,,,,,,standard,,,,,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-07583fc0d8bd943e6,2021-06-29T00:16:12.958Z,completed,vol-062fd9b586adbc6c3,30,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,MaintainedBY,DevOps,CreatedBy,terraform,Name,sonarqube,SnapshotCreator,DLM,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,spotinst:aws:ec2:group:createdBy,spotinst,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0e0451aab341d5b85,2021-06-29T00:16:12.486Z,completed,vol-00637cc46eeb111fa,30,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,Snapshot,true,SnapshotCreator,DLM,MaintainedBY,DevOps,Name,xray,standard,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-03a6df43e32da1a46,2021-06-28T00:10:20.614Z,completed,vol-00637cc46eeb111fa,30,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,Name,xray,SnapshotCreator,DLM,Snapshot,true,MaintainedBY,DevOps,standard,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0cbaa6567d7bf05c0,2021-06-27T00:18:38.111Z,completed,vol-0ec0dc19616a4f30f,30,dlm:managed,true,MaintainedBY,DevOps,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Name,prometheus,Snapshot,true,standard,SnapshotCreator,DLM,CreatedBy,terraform,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0525c6677b35a7868,2021-06-27T00:18:36.827Z,completed,vol-00637cc46eeb111fa,30,MaintainedBY,DevOps,SnapshotCreator,DLM,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,Name,xray,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-04751f40787c3e5d0,2021-06-26T00:18:51.038Z,completed,vol-0ec0dc19616a4f30f,30,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,Name,prometheus,standard,Snapshot,true,SnapshotCreator,DLM,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0613e5ae76a51f255,2021-06-26T00:18:49.617Z,completed,vol-00637cc46eeb111fa,30,SnapshotCreator,DLM,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Name,xray,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,Snapshot,true,MaintainedBY,DevOps,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0bf9662e2a802a28b,2021-06-25T00:15:32.052Z,completed,vol-0ec0dc19616a4f30f,30,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,MaintainedBY,DevOps,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,SnapshotCreator,DLM,Name,prometheus,standard,Snapshot,true,CreatedBy,terraform,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-03e19e0f7feb4e97e,2021-06-25T00:15:30.822Z,completed,vol-00637cc46eeb111fa,30,MaintainedBY,DevOps,Name,xray,Snapshot,true,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,SnapshotCreator,DLM,standard,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-03f36eaa16b62ae21,2021-06-24T00:21:09.118Z,completed,vol-0ec0dc19616a4f30f,30,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,MaintainedBY,DevOps,SnapshotCreator,DLM,Snapshot,true,Name,prometheus,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-05e35b6f101ba1f79,2021-06-24T00:21:07.778Z,completed,vol-00637cc46eeb111fa,30,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,CreatedBy,terraform,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,Name,xray,SnapshotCreator,DLM,standard,MaintainedBY,DevOps,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-04a6b5b658473cf55,2021-06-23T00:21:03.058Z,completed,vol-00637cc46eeb111fa,30,MaintainedBY,DevOps,Snapshot,true,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Name,xray,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,standard,CreatedBy,terraform,SnapshotCreator,DLM,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-06b97b1dd82a9e0f0,2021-06-23T00:21:04.381Z,completed,vol-0ec0dc19616a4f30f,30,Snapshot,true,SnapshotCreator,DLM,MaintainedBY,DevOps,Name,prometheus,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,standard,dlm:managed,true,CreatedBy,terraform,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0e0501973a66c203d,2021-06-22T00:22:57.885Z,completed,vol-0ec0dc19616a4f30f,30,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,SnapshotCreator,DLM,spotinst:aws:ec2:group:createdBy,spotinst,Name,prometheus,Snapshot,true,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,MaintainedBY,DevOps,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0d7521d4f41e62cb7,2021-06-22T00:22:56.652Z,completed,vol-00637cc46eeb111fa,30,Name,xray,Snapshot,true,dlm:managed,true,CreatedBy,terraform,MaintainedBY,DevOps,SnapshotCreator,DLM,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,spotinst:aws:ec2:group:createdBy,spotinst,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0773ab10cbab9e4a6,2021-06-21T00:16:12.728Z,completed,vol-00637cc46eeb111fa,30,Name,xray,Snapshot,true,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,MaintainedBY,DevOps,dlm:managed,true,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,standard,SnapshotCreator,DLM,spotinst:aws:ec2:group:createdBy,spotinst,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-07f4d4fc99a1e1f6f,2021-06-20T00:14:32.872Z,completed,vol-00637cc46eeb111fa,30,Name,xray,SnapshotCreator,DLM,MaintainedBY,DevOps,Snapshot,true,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,
