Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/StorageTier,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value,Snapshots/KmsKeyId
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0a5c9623e8756722b,2022-02-06T00:18:50.129Z,completed,vol-0a07bed975c59e23a,30,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,SnapshotCreator,DLM,Name,jenkins-master,spotinst:aws:ec2:group:createdBy,spotinst,Snapshot,true,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,MaintainedBY,DevOps,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0f2477202672110a3,2022-02-05T00:17:11.201Z,completed,vol-0a07bed975c59e23a,30,Snapshot,true,dlm:managed,true,CreatedBy,terraform,SnapshotCreator,DLM,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,Name,jenkins-master,spotinst:aws:ec2:group:createdBy,spotinst,standard,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,MaintainedBY,DevOps,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0665bd565f962a86c,2022-02-05T00:17:11.577Z,completed,vol-013405516d94e0b8a,30,Snapshot,true,SnapshotCreator,DLM,Name,artifactory,MaintainedBY,DevOps,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,standard,dlm:managed,true,CreatedBy,terraform,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-079f76d212f63c280,2022-02-04T00:21:50.591Z,completed,vol-013405516d94e0b8a,30,Snapshot,true,Name,artifactory,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,MaintainedBY,DevOps,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,CreatedBy,terraform,standard,dlm:managed,true,SnapshotCreator,DLM,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0b46f2bed280a80d6,2022-02-04T00:21:50.269Z,completed,vol-0a07bed975c59e23a,30,Snapshot,true,MaintainedBY,DevOps,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,Name,jenkins-master,standard,SnapshotCreator,DLM,CreatedBy,terraform,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0c498a15b4b2f2613,2022-02-03T00:08:34.779Z,completed,vol-013405516d94e0b8a,30,MaintainedBY,DevOps,SnapshotCreator,DLM,Snapshot,true,dlm:managed,true,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,Name,artifactory,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,
,false,874747637540,100%,snap-0b635572d676cb7fd,2022-01-19T06:55:12.833Z,completed,vol-07906cc5d6edbf0fa,300,Name,influxdb,CreatedBy,terraform,spotinst:aws:ec2:group:id,sig-e59fc746,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-f0a7c0de,MaintainedBY,DevOps,,,standard,,,,,
created by script,false,874747637540,100%,snap-0e42db0520fe4a04d,2022-01-13T05:44:39.084Z,completed,vol-0ad9c6e0d05b997ce,900,Name,jenkins-master,,,,,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-0366ce913b637aea8,2021-06-10T15:10:10.120Z,completed,vol-07eb7a08cdcb7cdb0,8,Name,node-exporter,MaintainedBY,DevOps,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:id,sig-5a5b3484,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,Snapshot,true,standard,,,,,
,false,874747637540,100%,snap-046b800b1af8f319c,2021-06-10T15:00:10.685Z,completed,vol-07eb7a08cdcb7cdb0,8,MaintainedBY,DevOps,Name,node-exporter,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-5a5b3484,CreatedBy,terraform,Snapshot,true,standard,,,,,
