Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/StorageTier,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value,Snapshots/KmsKeyId
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-09b7bcde813b56e66,2021-12-03T00:21:09.973Z,completed,vol-0051b6240a68d3d11,30,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,MaintainedBY,DevOps,Name,sonarqube,Snapshot,true,CreatedBy,terraform,standard,dlm:managed,true,SnapshotCreator,DLM,
created by script,false,874747637540,100%,snap-0f99cea13b8e91949,2021-12-02T14:49:07.290Z,completed,vol-054dc66c82e3d06a9,900,Name,jenkins-master,,,,,,,,,,,,,standard,,,,,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0e79ba1bde4cac385,2021-12-02T00:13:53.963Z,completed,vol-07f2a32db28c115e0,30,CreatedBy,terraform,dlm:managed,true,MaintainedBY,DevOps,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Snapshot,true,standard,SnapshotCreator,DLM,Name,jenkins-master,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0f386ea7dd1749cad,2021-12-02T00:13:52.170Z,completed,vol-0051b6240a68d3d11,30,Snapshot,true,Name,sonarqube,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,standard,dlm:managed,true,SnapshotCreator,DLM,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-033aed8f3e52c8929,2021-12-01T00:14:30.623Z,completed,vol-0051b6240a68d3d11,30,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,SnapshotCreator,DLM,CreatedBy,terraform,standard,Name,sonarqube,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-097c5b6ede4f2f547,2021-12-01T00:14:32.444Z,completed,vol-07f2a32db28c115e0,30,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Name,jenkins-master,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,SnapshotCreator,DLM,standard,MaintainedBY,DevOps,Snapshot,true,
,false,874747637540,100%,snap-03b3b11d508b733ec,2022-02-16T11:40:10.535Z,completed,vol-07906cc5d6edbf0fa,300,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,Name,influxdb,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-e59fc746,spotinst:accountId,act-f0a7c0de,,,standard,,,,,
,false,874747637540,100%,snap-0a13d481fe4463249,2022-02-16T11:30:11.840Z,completed,vol-07906cc5d6edbf0fa,300,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-e59fc746,spotinst:accountId,act-f0a7c0de,MaintainedBY,DevOps,Name,influxdb,,,standard,,,,,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0311ac3470aad7251,2022-02-16T00:17:19.096Z,completed,vol-0a07bed975c59e23a,30,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,MaintainedBY,DevOps,Name,jenkins-master,Snapshot,true,SnapshotCreator,DLM,standard,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0ae8f90d072de6e38,2022-02-16T00:17:19.468Z,completed,vol-013405516d94e0b8a,30,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,MaintainedBY,DevOps,Name,artifactory,Snapshot,true,dlm:managed,true,standard,CreatedBy,terraform,SnapshotCreator,DLM,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0ef26070527eff841,2022-02-15T00:12:54.386Z,completed,vol-013405516d94e0b8a,30,Snapshot,true,SnapshotCreator,DLM,CreatedBy,terraform,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,standard,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,Name,artifactory,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0eb0707d7d6787c1b,2022-02-14T00:18:19.022Z,completed,vol-0a07bed975c59e23a,30,MaintainedBY,DevOps,SnapshotCreator,DLM,CreatedBy,terraform,Snapshot,true,Name,jenkins-master,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,standard,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0edfbcc27969a6a9f,2022-02-13T00:16:55.646Z,completed,vol-013405516d94e0b8a,30,SnapshotCreator,DLM,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,Name,artifactory,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,MaintainedBY,DevOps,Snapshot,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0a55ab0e11cba6e1c,2022-02-10T00:18:56.969Z,completed,vol-0a07bed975c59e23a,30,MaintainedBY,DevOps,Snapshot,true,dlm:managed,true,CreatedBy,terraform,SnapshotCreator,DLM,Name,jenkins-master,spotinst:aws:ec2:group:createdBy,spotinst,standard,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,
