Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/StorageTier,Snapshots/OwnerAlias,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value
created by script,false,086685601027,100%,snap-0f56bc7aed1cddf74,2021-12-23T11:58:51.848Z,completed,vol-0fc0a20f6e18d363f,8,standard,,Name,sonarqube,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0efb9c14f75ca746a,2021-12-23T10:26:56.546Z,completed,vol-0fc0a20f6e18d363f,8,standard,,Name,sonarqube,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0742a65467d127d07,2021-12-23T07:50:33.969Z,completed,vol-0fc0a20f6e18d363f,8,standard,,Name,sonarqube,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0b55ba11cd8df848b,2021-12-21T11:25:45.169Z,completed,vol-0fc0a20f6e18d363f,8,standard,,Name,sonarqube,,,,,,,,,,,,,,,,
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-094d14009e102887d,2021-12-17T00:12:20.800Z,completed,vol-04762d9671a12581c,30,standard,,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,SnapshotCreator,DLM,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,MaintainedBY,DevOps,Name,jenkins-master-test,Snapshot,true,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-0c05276884f39be57,2021-12-15T00:17:24.827Z,completed,vol-04762d9671a12581c,30,standard,,Name,jenkins-master-test,MaintainedBY,DevOps,SnapshotCreator,DLM,CreatedBy,terraform,Snapshot,true,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-02ca4303dff9aa421,2021-12-14T00:19:27.644Z,completed,vol-07461aaf0fb269756,30,standard,,dlm:managed,true,MaintainedBY,DevOps,Snapshot,true,SnapshotCreator,DLM,CreatedBy,terraform,Name,jenkins-master-test,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-048a2788380a911cc,2021-12-13T00:18:30.863Z,completed,vol-07461aaf0fb269756,30,standard,,Name,jenkins-master-test,dlm:managed,true,CreatedBy,terraform,MaintainedBY,DevOps,SnapshotCreator,DLM,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,Snapshot,true
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-0d1b2a6bb0d12b9d9,2021-12-11T00:14:07.517Z,completed,vol-03c8e56134a471e8f,30,standard,,Snapshot,true,Name,sonarqube,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,SnapshotCreator,DLM,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,CreatedBy,terraform
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-0f62bbb19df963949,2021-12-10T00:11:13.015Z,completed,vol-03c8e56134a471e8f,30,standard,,MaintainedBY,DevOps,CreatedBy,terraform,Name,sonarqube,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,SnapshotCreator,DLM,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,Snapshot,true
